iter	Passed	Remaining
0	0	59
1	1	53
2	1	50
3	2	48
4	2	47
5	2	46
6	3	45
7	3	44
8	4	44
9	4	43
10	5	42
11	5	42
12	6	41
13	6	41
14	7	40
15	7	40
16	8	40
17	8	39
18	9	39
19	9	38
20	10	38
21	10	37
22	11	37
23	11	36
24	12	36
25	12	35
26	13	35
27	13	34
28	14	34
29	14	33
30	14	33
31	15	32
32	15	32
33	16	31
34	17	31
35	17	31
36	17	30
37	18	30
38	18	29
39	19	29
40	19	28
41	20	27
42	20	27
43	21	26
44	21	26
45	22	26
46	22	25
47	23	25
48	23	24
49	24	24
50	24	23
51	25	23
52	25	22
53	26	22
54	26	21
55	27	21
56	27	20
57	28	20
58	28	19
59	29	19
60	29	18
61	30	18
62	30	17
63	31	17
64	31	17
65	32	16
66	32	16
67	33	15
68	33	15
69	34	14
70	34	14
71	35	13
72	35	13
73	36	12
74	37	12
75	37	11
76	38	11
77	38	10
78	39	10
79	39	9
80	40	9
81	40	8
82	41	8
83	42	8
84	42	7
85	43	7
86	43	6
87	44	6
88	44	5
89	45	5
90	45	4
91	46	4
92	47	3
93	47	3
94	48	2
95	48	2
96	49	1
97	49	1
98	50	0
99	50	0
