iter	Passed	Remaining
0	134	134085
1	135	67579
2	136	45332
3	137	34187
4	139	27699
5	140	23223
6	141	20027
7	142	17622
8	142	15744
9	144	14281
10	145	13070
11	146	12067
12	147	11211
13	149	10509
14	150	9866
15	151	9293
16	152	8789
17	152	8338
18	153	7934
19	154	7570
20	155	7242
21	156	6947
22	157	6678
23	158	6427
24	159	6203
25	160	5994
26	160	5799
27	162	5628
28	162	5457
29	163	5298
30	164	5147
31	165	5005
32	166	4874
33	167	4750
34	167	4631
35	168	4520
36	169	4419
37	170	4321
38	171	4226
39	172	4145
40	173	4063
41	174	3985
42	175	3910
43	176	3836
44	177	3765
45	178	3698
46	179	3634
47	180	3573
48	181	3516
49	182	3462
50	183	3407
51	183	3353
52	184	3301
53	185	3252
54	186	3208
55	187	3164
56	188	3122
57	189	3079
58	190	3041
59	191	3002
60	192	2967
61	193	2933
62	195	2903
63	196	2868
64	197	2834
65	197	2801
66	198	2769
67	199	2736
68	200	2708
69	201	2681
70	202	2653
71	203	2625
72	204	2597
73	205	2569
74	206	2542
75	206	2516
76	207	2490
77	208	2466
78	209	2442
79	210	2418
80	211	2395
81	211	2372
82	212	2347
83	213	2327
84	214	2308
85	215	2290
86	216	2273
87	217	2255
88	218	2237
89	219	2219
90	220	2202
91	221	2185
92	222	2167
93	223	2151
94	224	2134
95	224	2117
96	225	2100
97	226	2083
98	227	2067
99	228	2060
100	230	2050
101	231	2037
102	232	2024
103	233	2013
104	234	1998
105	235	1984
106	236	1970
107	236	1956
108	237	1942
109	238	1929
110	239	1916
111	240	1903
112	240	1890
113	241	1880
114	242	1868
115	243	1857
116	244	1846
117	245	1835
118	246	1824
119	247	1813
120	248	1801
121	248	1789
122	249	1778
123	250	1767
124	250	1756
125	251	1746
126	252	1735
127	253	1724
128	253	1714
129	254	1704
130	255	1696
131	256	1686
132	257	1677
133	258	1668
134	259	1660
135	260	1651
136	260	1643
137	261	1634
138	262	1625
139	263	1616
140	263	1608
141	264	1598
142	265	1590
143	266	1582
144	266	1573
145	267	1566
146	268	1558
147	269	1551
148	270	1543
149	271	1536
150	272	1529
151	273	1523
152	274	1517
153	275	1511
154	275	1504
155	277	1498
156	278	1492
157	279	1487
158	280	1481
159	281	1476
160	281	1468
161	282	1462
162	283	1455
163	284	1449
164	285	1443
165	286	1437
166	287	1432
167	288	1428
168	289	1422
169	290	1417
170	291	1411
171	292	1406
172	293	1400
173	293	1395
174	294	1390
175	295	1384
176	296	1378
177	297	1373
178	298	1368
179	299	1362
180	300	1357
181	301	1352
182	302	1348
183	303	1343
184	303	1338
185	304	1333
186	305	1328
187	306	1323
188	307	1317
189	307	1313
190	308	1307
191	309	1303
192	310	1299
193	311	1293
194	312	1288
195	312	1283
196	313	1278
197	314	1273
198	315	1268
199	316	1264
200	316	1260
201	317	1255
202	318	1251
203	319	1247
204	320	1243
205	321	1238
206	322	1234
207	323	1229
208	323	1225
209	324	1220
210	325	1216
211	326	1211
212	326	1207
213	327	1202
214	328	1198
215	329	1194
216	329	1190
217	330	1186
218	331	1182
219	332	1178
220	333	1174
221	334	1170
222	334	1166
223	335	1162
224	336	1158
225	337	1154
226	337	1150
227	338	1146
228	339	1142
